Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Geography code,Gender,Age,Socio-economic classification,Household income,Value,Value_type,Sample size,Standard error,Lower CI,Upper CI
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cheshire,ONS geography code,E23000006,All,16+,All,All,?,%,3,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cumbria,ONS geography code,E23000002,All,16+,All,All,?,%,8,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Greater Manchester,ONS geography code,E23000005,All,16+,All,All,?,%,44,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Lancashire,ONS geography code,E23000003,All,16+,All,All,?,%,5,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Merseyside,ONS geography code,E23000004,All,16+,All,All,?,%,9,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Yorkshire and the Humber,ONS geography code,E12000003,All,16+,All,All,80.43581457,%,66,4.882965429,70.86520233,90.00642681
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Humberside,ONS geography code,E23000012,All,16+,All,All,?,%,7,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North Yorkshire,ONS geography code,E23000009,All,16+,All,All,?,%,8,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South Yorkshire,ONS geography code,E23000011,All,16+,All,All,?,%,23,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Yorkshire,ONS geography code,E23000010,All,16+,All,All,?,%,28,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,East Midlands,ONS geography code,E12000004,All,16+,All,All,?,%,40,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Derbyshire,ONS geography code,E23000018,All,16+,All,All,?,%,6,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Leicestershire,ONS geography code,E23000021,All,16+,All,All,?,%,10,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Lincolnshire,ONS geography code,E23000020,All,16+,All,All,?,%,5,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Northamptonshire,ONS geography code,E23000022,All,16+,All,All,?,%,7,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Nottinghamshire,ONS geography code,E23000019,All,16+,All,All,?,%,12,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Midlands Region,ONS geography code,E12000005,All,16+,All,All,79.94185455,%,64,5.005442891,70.13118649,89.75252262
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Staffordshire,ONS geography code,E23000015,All,16+,All,All,?,%,7,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Warwickshire,ONS geography code,E23000017,All,16+,All,All,?,%,4,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Mercia,ONS geography code,E23000016,All,16+,All,All,?,%,5,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Midlands,ONS geography code,E23000014,All,16+,All,All,?,%,48,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,East,ONS geography code,E12000006,All,16+,All,All,80.94503279,%,59,5.11296946,70.92361265,90.96645294
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Bedfordshire,ONS geography code,E23000026,All,16+,All,All,?,%,9,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cambridgeshire,ONS geography code,E23000023,All,16+,All,All,?,%,13,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Essex,ONS geography code,E23000028,All,16+,All,All,?,%,11,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Hertfordshire,ONS geography code,E23000027,All,16+,All,All,?,%,12,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Norfolk,ONS geography code,E23000024,All,16+,All,All,?,%,7,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Suffolk,ONS geography code,E23000025,All,16+,All,All,?,%,7,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,London,ONS geography code,E12000007,All,16+,All,All,75.14580799,%,353,2.300196038,70.63742376,79.65419223
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,City of London / Metropolitan Police,ONS geography code,E12000007,All,16+,All,All,75.14580799,%,353,2.300196038,70.63742376,79.65419223
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South East,ONS geography code,E12000008,All,16+,All,All,83.20868061,%,81,4.153213143,75.06838285,91.34897837
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Hampshire,ONS geography code,E23000030,All,16+,All,All,?,%,16,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Kent,ONS geography code,E23000032,All,16+,All,All,?,%,10,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Surrey,ONS geography code,E23000031,All,16+,All,All,?,%,21,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Sussex,ONS geography code,E23000033,All,16+,All,All,?,%,13,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Thames Valley,ONS geography code,E23000029,All,16+,All,All,?,%,21,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South West,ONS geography code,E12000009,All,16+,All,All,?,%,35,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Avon and Somerset,ONS geography code,E23000036,All,16+,All,All,?,%,8,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Devon and Cornwall,ONS geography code,E23000035,All,16+,All,All,?,%,9,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Dorset,ONS geography code,E23000039,All,16+,All,All,?,%,5,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Gloucestershire,ONS geography code,E23000037,All,16+,All,All,?,%,9,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Wiltshire,ONS geography code,E23000038,All,16+,All,All,?,%,4,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Wales,ONS geography code,W92000004,All,16+,All,All,?,%,30,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Dyfed-Powys,ONS geography code,W15000004,All,16+,All,All,?,%,2,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Gwent,ONS geography code,W15000002,All,16+,All,All,?,%,3,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North Wales,ONS geography code,W15000001,All,16+,All,All,?,%,5,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South Wales,ONS geography code,W15000003,All,16+,All,All,?,%,20,?,?,?
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,England and Wales,ONS geography code,K04000001,All,16+,All,All,77.7304755,%,92637,0.136696972,77.46254943,77.99840156
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,North East,ONS geography code,E12000001,All,16+,All,All,79.21937418,%,6115,0.518855929,78.20241656,80.2363318
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Cleveland,ONS geography code,E23000013,All,16+,All,All,72.95654987,%,1813,1.043192102,70.91189335,75.00120639
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Durham,ONS geography code,E23000008,All,16+,All,All,79.67172565,%,1974,0.905792654,77.89637205,81.44707926
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Northumbria,ONS geography code,E23000007,All,16+,All,All,81.25284626,%,2328,0.808901189,79.66739993,82.83829259
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,North West,ONS geography code,E12000002,All,16+,All,All,77.3562642,%,11436,0.391367457,76.58918398,78.12334441
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Cheshire,ONS geography code,E23000006,All,16+,All,All,80.74189393,%,1824,0.923302128,78.93222176,82.5515661
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Cumbria,ONS geography code,E23000002,All,16+,All,All,79.24302172,%,1807,0.954077168,77.37303047,81.11301297
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Greater Manchester,ONS geography code,E23000005,All,16+,All,All,75.24532489,%,3621,0.717222844,73.83956812,76.65108167
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Lancashire,ONS geography code,E23000003,All,16+,All,All,80.26864333,%,2212,0.846172435,78.61014535,81.9271413
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Merseyside,ONS geography code,E23000004,All,16+,All,All,74.57241397,%,1972,0.980591697,72.65045425,76.4943737
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Yorkshire and the Humber,ONS geography code,E12000003,All,16+,All,All,74.21973955,%,8667,0.469860531,73.29881291,75.14066619
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Humberside,ONS geography code,E23000012,All,16+,All,All,67.07997366,%,1812,1.103944988,64.91624149,69.24370584
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,North Yorkshire,ONS geography code,E23000009,All,16+,All,All,82.72845484,%,1921,0.862440952,81.03807058,84.41883911
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,South Yorkshire,ONS geography code,E23000011,All,16+,All,All,72.5450468,%,1902,1.023314152,70.53935106,74.55074254
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,West Yorkshire,ONS geography code,E23000010,All,16+,All,All,75.07459669,%,3032,0.785602764,73.53481527,76.61437811
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,East Midlands,ONS geography code,E12000004,All,16+,All,All,75.82182922,%,8792,0.456630598,74.92683325,76.71682519
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Derbyshire,ONS geography code,E23000018,All,16+,All,All,74.61817763,%,1859,1.009355199,72.63984144,76.59651382
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Leicestershire,ONS geography code,E23000021,All,16+,All,All,78.62149533,%,1680,1.000241044,76.66102289,80.58196778
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Lincolnshire,ONS geography code,E23000020,All,16+,All,All,75.55228248,%,1848,0.999751284,73.59276997,77.511795
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Northamptonshire,ONS geography code,E23000022,All,16+,All,All,78.48251293,%,1662,1.008014352,76.50680479,80.45822106
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Nottinghamshire,ONS geography code,E23000019,All,16+,All,All,73.24922893,%,1743,1.060281021,71.17107813,75.32737973
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,West Midlands Region,ONS geography code,E12000005,All,16+,All,All,75.34038541,%,8230,0.475124191,74.409142,76.27162883
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Staffordshire,ONS geography code,E23000015,All,16+,All,All,70.85817908,%,1704,1.100825652,68.7005608,73.01579736
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Warwickshire,ONS geography code,E23000017,All,16+,All,All,78.90120869,%,1803,0.960887963,77.01786828,80.78454909
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,West Mercia,ONS geography code,E23000016,All,16+,All,All,77.79317632,%,1799,0.979937534,75.87249876,79.71385389
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,West Midlands,ONS geography code,E23000014,All,16+,All,All,74.96826659,%,2924,0.801116198,73.39807884,76.53845434
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,East,ONS geography code,E12000006,All,16+,All,All,78.06017443,%,11183,0.391338144,77.29315166,78.82719719
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Bedfordshire,ONS geography code,E23000026,All,16+,All,All,75.04554192,%,1711,1.046192292,72.99500503,77.09607881
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Cambridgeshire,ONS geography code,E23000023,All,16+,All,All,76.45946404,%,1720,1.022962172,74.45445818,78.4644699
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Essex,ONS geography code,E23000028,All,16+,All,All,73.95997804,%,2407,0.89450138,72.20675533,75.71320074
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Hertfordshire,ONS geography code,E23000027,All,16+,All,All,82.69215804,%,1689,0.920531806,80.8879157,84.49640038
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Norfolk,ONS geography code,E23000024,All,16+,All,All,81.53325602,%,1831,0.906814352,79.75589989,83.31061215
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Suffolk,ONS geography code,E23000025,All,16+,All,All,79.9027997,%,1825,0.938031331,78.06425829,81.74134111
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,London,ONS geography code,E12000007,All,16+,All,All,80.60615024,%,7018,0.471964596,79.68109963,81.53120084
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,City of London / Metropolitan Police,ONS geography code,E12000007,All,16+,All,All,80.60615024,%,7018,0.471964596,79.68109963,81.53120084
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,South East,ONS geography code,E12000008,All,16+,All,All,79.74514878,%,12353,0.361601684,79.03640948,80.45388808
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Hampshire,ONS geography code,E23000030,All,16+,All,All,79.9245703,%,2808,0.755916853,78.44297327,81.40616733
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Kent,ONS geography code,E23000032,All,16+,All,All,76.71108278,%,2472,0.850118509,75.04485051,78.37731506
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Surrey,ONS geography code,E23000031,All,16+,All,All,82.07454849,%,1709,0.927829703,80.25600227,83.8930947
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Sussex,ONS geography code,E23000033,All,16+,All,All,75.92299091,%,2337,0.884420023,74.18952766,77.65645416
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Thames Valley,ONS geography code,E23000029,All,16+,All,All,83.68066948,%,3027,0.671672445,82.36419149,84.99714747
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,South West,ONS geography code,E12000009,All,16+,All,All,80.08302317,%,10940,0.38183284,79.3346308,80.83141554
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Avon and Somerset,ONS geography code,E23000036,All,16+,All,All,76.663697,%,2352,0.872152135,74.95427882,78.37311518
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Devon and Cornwall,ONS geography code,E23000035,All,16+,All,All,82.37723031,%,2879,0.710100541,80.98543325,83.76902737
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Dorset,ONS geography code,E23000039,All,16+,All,All,83.53127226,%,1833,0.866310026,81.83330461,85.22923991
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Gloucestershire,ONS geography code,E23000037,All,16+,All,All,80.11446806,%,2025,0.886975389,78.3759963,81.85293982
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Wiltshire,ONS geography code,E23000038,All,16+,All,All,79.17070822,%,1851,0.943878965,77.32070545,81.02071099
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Wales,ONS geography code,W92000004,All,16+,All,All,74.10229365,%,7903,0.492777064,73.1364506,75.06813669
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Dyfed-Powys,ONS geography code,W15000004,All,16+,All,All,78.14538218,%,1938,0.938742287,76.30544729,79.98531706
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Gwent,ONS geography code,W15000002,All,16+,All,All,67.89921414,%,2016,1.039788338,65.861229,69.93719928
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,North Wales,ONS geography code,W15000001,All,16+,All,All,77.69211536,%,1954,0.941792849,75.84620137,79.53802934
Confidence in police - Crime Survey England and Wales,White,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,South Wales,ONS geography code,W15000003,All,16+,All,All,73.20584196,%,1995,0.991565659,71.26237327,75.14931065
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,England and Wales,ONS geography code,K04000001,All,16+,All,All,76.15781482,%,9947,0.427252101,75.32040071,76.99522894
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,North East,ONS geography code,E12000001,All,16+,All,All,86.35281472,%,181,2.551646486,81.35158761,91.35404183
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Cleveland,ONS geography code,E23000013,All,16+,All,All,68.54824011,%,63,5.849925775,57.08238559,80.01409463
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Durham,ONS geography code,E23000008,All,16+,All,All,?,%,25,?,?,?
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Northumbria,ONS geography code,E23000007,All,16+,All,All,90.96237538,%,93,2.973148296,85.13500472,96.78974604
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,North West,ONS geography code,E12000002,All,16+,All,All,74.18220146,%,796,1.551146898,71.14195354,77.22244938
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Cheshire,ONS geography code,E23000006,All,16+,All,All,?,%,40,?,?,?
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Cumbria,ONS geography code,E23000002,All,16+,All,All,?,%,30,?,?,?
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Greater Manchester,ONS geography code,E23000005,All,16+,All,All,71.16601777,%,500,2.02583301,67.19538507,75.13665047
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Lancashire,ONS geography code,E23000003,All,16+,All,All,79.70803833,%,140,3.398983523,73.04603063,86.37004604
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Merseyside,ONS geography code,E23000004,All,16+,All,All,74.40547299,%,86,4.705727445,65.1822472,83.62869878
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Yorkshire and the Humber,ONS geography code,E12000003,All,16+,All,All,74.40597555,%,655,1.705110575,71.06395882,77.74799228
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Humberside,ONS geography code,E23000012,All,16+,All,All,?,%,43,?,?,?
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,North Yorkshire,ONS geography code,E23000009,All,16+,All,All,?,%,37,?,?,?
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,South Yorkshire,ONS geography code,E23000011,All,16+,All,All,76.03726412,%,119,3.912982998,68.36781744,83.7067108
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,West Yorkshire,ONS geography code,E23000010,All,16+,All,All,72.89101431,%,456,2.081666771,68.81094744,76.97108118
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,East Midlands,ONS geography code,E12000004,All,16+,All,All,79.14878129,%,718,1.516092208,76.17724056,82.12032202
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Derbyshire,ONS geography code,E23000018,All,16+,All,All,81.39374569,%,91,4.079475202,73.3979743,89.38951709
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Leicestershire,ONS geography code,E23000021,All,16+,All,All,81.21372141,%,300,2.255144929,76.79363735,85.63380547
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Lincolnshire,ONS geography code,E23000020,All,16+,All,All,?,%,40,?,?,?
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Northamptonshire,ONS geography code,E23000022,All,16+,All,All,76.96870376,%,138,3.584072068,69.94392251,83.99348502
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Nottinghamshire,ONS geography code,E23000019,All,16+,All,All,74.76327374,%,149,3.558504581,67.78860476,81.73794272
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,West Midlands Region,ONS geography code,E12000005,All,16+,All,All,73.94322724,%,1128,1.306937934,71.38162889,76.50482559
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Staffordshire,ONS geography code,E23000015,All,16+,All,All,69.08362254,%,76,5.301210575,58.69324981,79.47399526
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Warwickshire,ONS geography code,E23000017,All,16+,All,All,86.29362043,%,104,3.372360957,79.68379296,92.90344791
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,West Mercia,ONS geography code,E23000016,All,16+,All,All,71.11730627,%,55,6.111181073,59.13939136,83.09522117
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,West Midlands,ONS geography code,E23000014,All,16+,All,All,73.85341468,%,893,1.470506844,70.97122126,76.73560809
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,East,ONS geography code,E12000006,All,16+,All,All,80.16941417,%,923,1.312415276,77.59708023,82.74174811
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Bedfordshire,ONS geography code,E23000026,All,16+,All,All,72.3327427,%,317,2.512585735,67.40807466,77.25741074
Confidence in police - Crime Survey England and Wales,All other Ethnic groups,White & Other,"2014/15, 2015/16 and 2016/17",3 years combined,Cambridgeshire,ONS geography code,E23000023,All,16+,All,All,81.05097659,%,139,3.324031587,74.53587468,87.5660785
