Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type, Number of stop and searches , Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ,Population by ethnicity,"Rate per 1,000 population by ethnicity",Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported),Notes
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,South Yorkshire,Police Force Area,181,"17,674","15,519",11.66,1%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,Staffordshire,Police Force Area,58,"18,903","4,271",13.58,0%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,Suffolk,Police Force Area,36,"3,310","2,624",13.72,1%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,Surrey,Police Force Area,254,"15,863","7,828",32.45,2%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,Sussex,Police Force Area,307,"26,625","9,262",33.15,1%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,Thames Valley,Police Force Area,544,"23,604","42,293",12.86,2%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,Warwickshire,Police Force Area,25,"4,063","2,173",11.5,1%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,West Mercia,Police Force Area,35,"10,340","2,252",15.54,0%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,West Midlands,Police Force Area,882,"35,185","55,557",15.88,3%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,West Yorkshire,Police Force Area,236,"41,564","24,685",9.56,1%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,Wiltshire,Police Force Area,48,"4,653","3,136",15.31,1%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,All - excluding BTP,Police Force Area,"58,288","1,121,123","989,628",58.9,5%,
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,All - including BTP,Police Force Area,"59,085","1,131,675","989,628",59.7,5%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Avon & Somerset,Police Force Area,700,"29,588","14,561",48.07,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Bedfordshire,Police Force Area,203,"7,365","13,964",14.54,3%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,British Transport Police,Police Force Area,597,"9,135", N/A , N/A ,7%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Cambridgeshire,Police Force Area,184,"16,169","5,906",31.15,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Cheshire,Police Force Area,14,"4,934","1,734",8.07,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Cleveland,Police Force Area,99,"31,104","2,615",37.86,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Cumbria,Police Force Area,6,"12,251",373,16.09,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Derbyshire,Police Force Area,68,"12,377","4,459",15.25,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Devon & Cornwall,Police Force Area,42,"13,107","2,384",17.62,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Dorset,Police Force Area,115,"7,549","2,055",55.96,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Durham,Police Force Area,8,"8,528",653,12.25,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Dyfed-Powys,Police Force Area,11,"13,125",415,26.51,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Essex,Police Force Area,120,"4,326","24,613",4.88,3%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Gloucestershire,Police Force Area,48,"4,701","2,090",22.97,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Greater Manchester,Police Force Area,591,"32,968","44,691",13.22,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Gwent,Police Force Area,12,"8,875","1,803",6.66,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Hampshire,Police Force Area,492,"30,422","11,697",42.06,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Hertfordshire,Police Force Area,272,"14,876","19,722",13.79,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Humberside,Police Force Area,40,"10,317","3,498",11.44,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Kent,Police Force Area,152,"7,996","16,265",9.35,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Lancashire,Police Force Area,22,"18,152","2,688",8.18,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Leicestershire,Police Force Area,145,"5,831","14,586",9.94,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Lincolnshire,Police Force Area,25,"6,999","1,540",16.23,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,"London, City of",Police Force Area,189,"2,645", N/A , N/A ,7%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Merseyside,Police Force Area,85,"29,117","9,792",8.68,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Metropolitan Police,Police Force Area,"32,816","338,973","573,833",57.19,10%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Norfolk,Police Force Area,80,"14,297","3,096",25.84,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,North Wales,Police Force Area,2,"4,750","1,077",1.86,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,North Yorkshire,Police Force Area,17,"7,032","2,331",7.29,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Northamptonshire,Police Force Area,162,"9,030","9,552",16.96,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Northumbria,Police Force Area,126,"31,759","7,714",16.33,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Nottinghamshire,Police Force Area,54,"3,384","11,631",4.64,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,South Wales,Police Force Area,127,"10,083","8,592",14.78,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,South Yorkshire,Police Force Area,239,"20,487","15,519",15.4,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Staffordshire,Police Force Area,61,"18,950","4,271",14.28,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Suffolk,Police Force Area,37,"3,570","2,624",14.1,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Surrey,Police Force Area,246,"18,140","7,828",31.43,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Sussex,Police Force Area,215,"23,451","9,262",23.21,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Thames Valley,Police Force Area,465,"21,472","42,293",10.99,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Warwickshire,Police Force Area,25,"5,639","2,173",11.5,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,West Mercia,Police Force Area,32,"13,578","2,252",14.21,0%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,West Midlands,Police Force Area,646,"31,249","55,557",11.63,2%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,West Yorkshire,Police Force Area,198,"39,304","24,685",8.02,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,Wiltshire,Police Force Area,77,"5,844","3,136",24.55,1%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,All - excluding BTP,Police Force Area,"39,268","954,314","989,628",39.68,4%,
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black African,ONS 2001 16+1,All - including BTP,Police Force Area,"39,865","963,449","989,628",40.28,4%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Avon & Somerset,Police Force Area,585,"23,728","14,561",40.18,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Bedfordshire,Police Force Area,121,"5,515","13,964",8.67,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,British Transport Police,Police Force Area,833,"11,066", N/A , N/A ,8%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Cambridgeshire,Police Force Area,194,"12,292","5,906",32.85,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Cheshire,Police Force Area,22,"6,541","1,734",12.69,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Cleveland,Police Force Area,112,"24,616","2,615",42.83,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Cumbria,Police Force Area,3,"9,616",373,8.04,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Derbyshire,Police Force Area,42,"6,211","4,459",9.42,1%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Devon & Cornwall,Police Force Area,78,"13,125","2,384",32.72,1%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Dorset,Police Force Area,165,"8,329","2,055",80.29,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Durham,Police Force Area,11,"12,058",653,16.85,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Dyfed-Powys,Police Force Area,4,"8,988",415,9.64,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Essex,Police Force Area,221,"8,726","24,613",8.98,3%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Gloucestershire,Police Force Area,37,"4,445","2,090",17.7,1%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Greater Manchester,Police Force Area,621,"26,812","44,691",13.9,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Gwent,Police Force Area,9,"3,947","1,803",4.99,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Hampshire,Police Force Area,450,"27,917","11,697",38.47,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Hertfordshire,Police Force Area,427,"22,302","19,722",21.65,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Humberside,Police Force Area,21,"6,512","3,498",6,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Kent,Police Force Area,229,"8,969","16,265",14.08,3%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Lancashire,Police Force Area,40,"15,748","2,688",14.88,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Leicestershire,Police Force Area,179,"4,376","14,586",12.27,4%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Lincolnshire,Police Force Area,23,"8,942","1,540",14.94,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,"London, City of",Police Force Area,167,"2,231", N/A , N/A ,7%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Merseyside,Police Force Area,116,"35,855","9,792",11.85,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Metropolitan Police,Police Force Area,"26,311","270,086","573,833",45.85,10%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Norfolk,Police Force Area,99,"13,070","3,096",31.98,1%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,North Wales,Police Force Area,3,"5,097","1,077",2.79,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,North Yorkshire,Police Force Area,22,"7,685","2,331",9.44,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Northamptonshire,Police Force Area,157,"8,427","9,552",16.44,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Northumbria,Police Force Area,177,"37,843","7,714",22.95,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Nottinghamshire,Police Force Area,130,"5,166","11,631",11.18,3%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,South Wales,Police Force Area,149,"12,879","8,592",17.34,1%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,South Yorkshire,Police Force Area,263,"21,218","15,519",16.95,1%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Staffordshire,Police Force Area,73,"14,538","4,271",17.09,1%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Suffolk,Police Force Area,5,"5,049","2,624",1.91,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Surrey,Police Force Area,292,"14,399","7,828",37.3,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Sussex,Police Force Area,187,"16,444","9,262",20.19,1%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Thames Valley,Police Force Area,567,"20,760","42,293",13.41,3%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Warwickshire,Police Force Area,82,"4,783","2,173",37.74,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,West Mercia,Police Force Area,80,"14,121","2,252",35.52,1%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,West Midlands,Police Force Area,494,"22,481","55,557",8.89,2%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,West Yorkshire,Police Force Area,150,"33,230","24,685",6.08,0%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,Wiltshire,Police Force Area,71,"6,322","3,136",22.64,1%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,All - excluding BTP,Police Force Area,"33,189","841,399","989,628",33.54,4%,
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Black African,ONS 2001 16+1,All - including BTP,Police Force Area,"34,022","852,465","989,628",34.38,4%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Avon & Somerset,Police Force Area,266,"9,973","14,561",18.27,3%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Bedfordshire,Police Force Area,64,"2,476","13,964",4.58,3%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,British Transport Police,Police Force Area,345,"5,725", N/A , N/A ,6%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Cambridgeshire,Police Force Area,85,"5,715","5,906",14.39,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Cheshire,Police Force Area,38,"9,203","1,734",21.91,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Cleveland,Police Force Area,45,"9,281","2,615",17.21,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Cumbria,Police Force Area,2,"5,622",373,5.36,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Derbyshire,Police Force Area,28,"5,291","4,459",6.28,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Devon & Cornwall,Police Force Area,45,"8,010","2,384",18.88,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Dorset,Police Force Area,95,"6,985","2,055",46.23,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Durham,Police Force Area,5,"8,189",653,7.66,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Dyfed-Powys,Police Force Area,12,"5,156",415,28.92,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Essex,Police Force Area,195,"4,835","24,613",7.92,4%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Gloucestershire,Police Force Area,20,"2,667","2,090",9.57,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Greater Manchester,Police Force Area,355,"13,624","44,691",7.94,3%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Gwent,Police Force Area,8,"2,086","1,803",4.44,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Hampshire,Police Force Area,354,"17,375","11,697",30.26,2%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Hertfordshire,Police Force Area,243,"10,429","19,722",12.32,2%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Humberside,Police Force Area,9,"3,154","3,498",2.57,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Kent,Police Force Area,245,"8,989","16,265",15.06,3%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Lancashire,Police Force Area,11,"7,723","2,688",4.09,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Leicestershire,Police Force Area,111,"3,129","14,586",7.61,4%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Lincolnshire,Police Force Area,8,"5,881","1,540",5.19,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,"London, City of",Police Force Area,138,"1,539", N/A , N/A ,9%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Merseyside,Police Force Area,86,"24,523","9,792",8.78,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Metropolitan Police,Police Force Area,"16,494","157,738","573,833",28.74,10%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Norfolk,Police Force Area,111,"9,226","3,096",35.85,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,North Wales,Police Force Area,3,"2,419","1,077",2.79,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,North Yorkshire,Police Force Area,28,"6,310","2,331",12.01,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Northamptonshire,Police Force Area,106,"4,404","9,552",11.1,2%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Northumbria,Police Force Area,109,"17,223","7,714",14.13,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Nottinghamshire,Police Force Area,89,"3,762","11,631",7.65,2%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,South Wales,Police Force Area,77,"7,782","8,592",8.96,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,South Yorkshire,Police Force Area,122,"8,175","15,519",7.86,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Staffordshire,Police Force Area,20,"6,012","4,271",4.68,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Suffolk,Police Force Area,114,"4,628","2,624",43.45,2%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Surrey,Police Force Area,208,"10,029","7,828",26.57,2%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Sussex,Police Force Area,156,"11,396","9,262",16.84,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Thames Valley,Police Force Area,462,"16,476","42,293",10.92,3%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Warwickshire,Police Force Area,36,"3,054","2,173",16.57,1%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,West Mercia,Police Force Area,37,"9,753","2,252",16.43,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,West Midlands,Police Force Area,364,"14,928","55,557",6.55,2%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,West Yorkshire,Police Force Area,93,"20,479","24,685",3.77,0%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,Wiltshire,Police Force Area,62,"3,072","3,136",19.77,2%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,All - excluding BTP,Police Force Area,"21,159","498,721","989,628",21.38,4%,
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black African,ONS 2001 16+1,All - including BTP,Police Force Area,"21,504","504,446","989,628",21.73,4%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Avon & Somerset,Police Force Area,156,"4,929","14,561",10.71,3%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Bedfordshire,Police Force Area,61,"1,891","13,964",4.37,3%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,British Transport Police,Police Force Area,156,"3,001", N/A , N/A ,5%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Cambridgeshire,Police Force Area,74,"2,836","5,906",12.53,3%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Cheshire,Police Force Area,22,"3,839","1,734",12.69,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Cleveland,Police Force Area,17,"2,717","2,615",6.5,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Cumbria,Police Force Area,7,"3,490",373,18.77,0%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Derbyshire,Police Force Area,24,"3,534","4,459",5.38,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Devon & Cornwall,Police Force Area,41,"5,802","2,384",17.2,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Dorset,Police Force Area,69,"4,278","2,055",33.58,2%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Durham,Police Force Area,1,"4,433",653,1.53,0%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Dyfed-Powys,Police Force Area,4,"3,632",415,9.64,0%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Essex,Police Force Area,126,"2,200","24,613",5.12,6%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Gloucestershire,Police Force Area,21,"2,018","2,090",10.05,1%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Greater Manchester,Police Force Area,129,"4,761","44,691",2.89,3%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Gwent,Police Force Area,2,"1,092","1,803",1.11,0%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Hampshire,Police Force Area,303,"10,238","11,697",25.9,3%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Hertfordshire,Police Force Area,216,"7,162","19,722",10.95,3%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Humberside,Police Force Area,1,739,"3,498",0.29,0%,
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black African,ONS 2001 16+1,Kent,Police Force Area,283,"6,845","16,265",17.4,4%,
